chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
1	15865	121485140	35761	87	86.8620469424568	0.0146502670066824	0.11893034009339
1	142539178	249219611	26068	85	84.8836507910215	-0.00360893302263204	0.121417306870394
2	18435	92318652	19633	85	85.4862635214819	0.00199738979166653	0.124550800005087
2	95398021	243035414	29473	85	85.0227424834367	-0.00231139228369204	0.124506521112103
3	64070	90383506	17072	86	86.3317838354678	0.00979738218053702	0.122788571854077
3	93560256	197896800	19992	85	84.6776426836499	-0.00553462200470644	0.126801697980672
4	27812	49592492	10080	86	86.4933478015548	0.0112791366551267	0.122051774563353
4	52697492	190982887	17236	84	83.7327969743756	-0.0144270650393668	0.133572966801974
5	47603	45888975	8160	85	84.7097328300996	-0.00523434750415479	0.128482807262974
5	49599264	180876320	25287	86	85.5746815468951	0.0028166522339102	0.12453793261253
6	148112	58779187	22142	86	86.0405297832552	0.00711918837274761	0.118892900138892
6	62007419	171033363	17858	83	83.2990702171812	-0.0185427112853618	0.129336378715428
7	31006	57928998	14809	85	85.1483789634543	-0.00114119186540404	0.125203086230559
7	61818740	159127977	21001	85	85.0417537217609	-0.00213420739271194	0.125641531687118
8	29111	43828789	10630	86	86.4761435517037	0.0111214825851364	0.12508856451076
8	46856411	146279898	18623	84	84.2633743214601	-0.00942125823890526	0.126501183850852
9	11410	47185609	4490	86	85.7377613286741	0.00432549918828286	0.123062885963316
9	65508204	141111396	15390	87	86.8048854155933	0.0141285586700818	0.119667528610521
10	91802	39024195	9005	84	83.9194889546075	-0.012662089988291	0.130079347453123
10	42398529	135523745	23134	86	85.9801048341319	0.00656242352656315	0.122062958556165
11	123899	51580877	13808	87	87.2662909538945	0.0183300091358062	0.120860648922182
11	55029786	134945834	23454	87	86.6923700389873	0.0131006373150899	0.118949330008254
12	148077	34846306	8557	85	85.2496483135239	-0.000199205760113842	0.127572723126716
12	37935538	133779169	25578	85	85.3811333533304	0.0010221741276375	0.119839537371905
13	19060404	115099705	16318	83	83.3422018256864	-0.0181324769596694	0.126408357015265
14	19109264	107288070	22944	85	84.7483563154975	-0.0048730897499023	0.119852003195222
15	20087619	102520452	22247	86	85.5529663766242	0.0026155224760748	0.117675211769229
16	61523	35136261	13613	87	86.7538607233136	0.0136625707612319	0.110043351519526
16	46461571	90282401	15621	86	85.7101658689149	0.00407038203138706	0.114785642589992
17	3075	22240394	10048	87	87.1134840197274	0.0169410473957803	0.109115989709105
17	25289407	81060149	24199	86	86.1975993076215	0.00856462634735579	0.113195323498394
18	10870	15331495	2882	84	83.8762460587002	-0.0130705565751883	0.12397157208289
18	18511418	78012216	8844	83	83.2652038637899	-0.018864970419899	0.126650148567911
19	70893	24390680	13643	87	87.1601445891868	0.0173654336168538	0.105879611401435
19	27732527	59097644	15374	87	86.9010492037342	0.0150060405198292	0.109854678328488
20	67000	26319303	5703	85	84.734933544015	-0.00499861855797876	0.11724161503155
20	29521264	62959262	12459	86	85.9963572335905	0.00671221406550212	0.113325542175632
21	10861949	11186257	61	83	83.1051474153665	-0.0203897792135357	0.127646690089279
21	14409311	48100985	8010	83	83.479506066894	-0.0168279562317785	0.121600301449579
22	16123266	51225561	14274	87	86.6589204720258	0.012794790796308	0.112268102341818
X	2702298	58562599	6601	85	85.2858467342651	0.000137233184127914	0.13220470739724
X	62270220	154924426	8563	86	86.2069525514986	0.00865061690267086	0.132618643999811
Y	2652340	10037794	194	1	0.897226247054674	-3.52669760780364	0.233949645758543
Y	13249274	59019879	273	1	0.954173910731962	-3.482856610728	0.238594637656318
