chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
1	15865	59670216	25428	10	9.80870825534739	0.0720837218631725	0.156483376436291
1	59680504	121485140	10333	-20	-19.560591319435	-0.0488182898560521	0.202156503872994
1	142539178	185703659	11863	-7	-7.05872389240932	0.00491381383139315	0.182010648341107
1	185703688	199521258	1132	-59	-59.0923904364202	-0.2475380407167	0.26017277146525
1	199544235	249219611	13073	-8	-8.39640271685312	-0.000664654725283229	0.179656652272366
2	18435	92318652	19633	-8	-8.01188992473437	0.000942884019807525	0.187203405013475
2	95398021	137808428	8797	-5	-5.26330858907667	0.0123400448602525	0.175284005702428
2	137813993	216995507	11629	-29	-29.2567841836144	-0.0931509141389411	0.223634653511767
2	217007904	243035414	9047	1	0.621222276038203	0.0362037394214259	0.165993954498641
3	64070	75835993	16366	-1	-1.12522079964887	0.0291959283552688	0.179218120221369
3	75908040	90383506	706	-57	-57.1129865459791	-0.236310890720938	0.251401319766388
3	93560256	197896800	19992	-17	-17.3098049566727	-0.0388721175332275	0.204448761099815
4	27812	49592492	10080	-4	-3.93839523290114	0.0177759497373486	0.178698473418703
4	52697492	190982887	17236	-29	-28.7886816998219	-0.0909528003536022	0.222614083966553
5	47603	45888975	8160	-14	-14.0902422493384	-0.0248582246745883	0.194527112331914
5	49599264	131310924	11200	-25	-24.7155467836904	-0.0720789163615019	0.211560969576179
5	131311470	180876320	14087	0	-0.157317734374818	0.0330873977637473	0.176927274245495
6	148112	58779187	22142	-6	-5.68382140847366	0.0106069342866547	0.179223779971066
6	62007419	171033363	17858	-25	-24.5195372368916	-0.0711818814538693	0.210189681579541
7	31006	7091125	5058	7	7.44345705060497	0.0630006217491075	0.154172180293477
7	7097910	21463675	1655	-46	-45.8028255820925	-0.175039273376803	0.242086109066706
7	21465021	57928998	8096	-13	-12.9485767345623	-0.0199477122149152	0.192828670820824
7	61818740	77851541	2972	2	2.40734511107039	0.0433073224102088	0.168638071005432
7	77854601	96622709	2422	-48	-47.8342539100507	-0.185701471088758	0.230062515385352
7	96625586	159127977	15607	-8	-8.20952817388852	0.000117021431973669	0.183282498201378
8	29111	43828789	10630	-5	-5.39489888511666	0.0117981126160819	0.183907804958116
8	46856411	130952075	13182	-25	-25.0473207596605	-0.0735995900518814	0.216250578936646
8	130952133	146279898	5441	3	2.8075533082808	0.0448903055764099	0.153956530320846
9	11410	47185609	4490	-12	-12.4951044152637	-0.0180056461496719	0.195505898227945
9	65508204	141111396	15390	-1	-0.624012814872788	0.0312134253338951	0.172093423025927
10	91802	39024195	9005	-15	-15.4238937674668	-0.0306332551057762	0.196013010702219
10	42398529	135523745	23134	-4	-4.17033148076382	0.0168270378353067	0.180240717153347
11	123899	51580877	13808	0	0.355945745077224	0.0351432640444378	0.172122346283907
11	55029786	134945834	23454	0	-0.422171931328253	0.0320244425754731	0.171366806443205
12	148077	8572357	3743	5	4.51714797663687	0.0516171000551269	0.159689371333766
12	8575139	34846306	4814	-26	-25.6095833482087	-0.0761833729392083	0.214291152171167
12	37935538	133779169	25578	-7	-7.23589352615808	0.00417721969301475	0.182431771507271
13	19060404	115099705	16318	-23	-23.0922971690065	-0.0646805353126983	0.199808459085758
14	19109264	107288070	22944	-9	-8.79256479591298	-0.00232430914085669	0.178991185880592
15	20087619	102520452	22247	-5	-5.4131712985821	0.0117228315156798	0.175082356656944
16	61523	35136261	13613	5	5.09867939504991	0.0538923327084267	0.145636238886515
16	46461571	90282401	15621	-1	-1.23129049024848	0.0287683108608098	0.157918909894578
17	3075	22240394	10048	5	5.14507624268919	0.0540735789466778	0.150341317703761
17	25289407	81060149	24199	2	1.94208993078298	0.0414630740030859	0.152846733989428
18	10870	15331495	2882	-17	-17.3744838806119	-0.0391561991743632	0.184138170218619
18	18511418	78012216	8844	-20	-20.2410812041507	-0.0518500689261776	0.198748774352459
19	70893	24390680	13643	7	7.00802375976246	0.061317067210244	0.138027510137955
19	27732527	59097644	15374	5	5.2777786969958	0.054591743943898	0.148694427372556
20	67000	26319303	5703	-7	-6.90105482889145	0.00556875855687525	0.17191323106906
20	29521264	62959262	12459	3	2.70414399044867	0.044481582927101	0.158492623472415
21	10861949	11186257	61	-26	-26.2980261028764	-0.0793584960477719	0.160010663910537
21	14409311	32185756	1657	-44	-44.4255928825643	-0.167891342121988	0.24102692703913
21	32202010	48100985	6353	-6	-6.19850352502078	0.00848054747157931	0.163105291956603
22	16123266	51225561	14274	6	6.36773862540281	0.0588349695170579	0.148409509947982
X	2702298	58562599	6601	-12	-12.0001179079309	-0.0158912009273904	0.204437508236335
X	62270220	154924426	8563	-12	-11.9324020063615	-0.0156023749969879	0.206486339513266
Y	2657879	10037794	194	-196	-195.522387212333	-3.44250514016957	0.320365322582887
Y	13249274	59019879	273	-196	-195.569297843857	-3.45767282535117	0.280541234610817
