chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
1	15865	121485140	35761	2	2.12968541014949	0.02162418451143	0.115473824834579
1	142539178	249219611	26068	2	1.90493808660738	0.0133495917390685	0.120320741000698
2	18435	92318652	19633	2	1.86137642645733	0.0117357366909925	0.120169975514616
2	95398021	243035414	29473	2	1.69993638262544	0.00572598247576541	0.121643520247771
3	64070	90383506	17072	2	1.98026298687506	0.0161324769460272	0.119391828211427
3	93560256	197896800	19992	2	1.67502088872207	0.00479441236522039	0.126597653802569
4	27812	49592492	10080	2	1.97840399340901	0.0160639136003774	0.118698703394816
4	52697492	190982887	17236	1	1.17983925977503	-0.0139505794367042	0.134212947995685
5	47603	45888975	8160	2	1.66551168128448	0.00443858224909459	0.124034252364473
5	49599264	180876320	25287	2	1.79189153191681	0.00915467500089017	0.121864358682757
6	148112	58779187	22142	2	2.03742482675389	0.0182378317112212	0.117454325290272
6	62007419	171033363	17858	1	1.352123693675	-0.0073784380979139	0.129694044135517
7	31006	57928998	14809	2	1.81317420588579	0.00994612612258483	0.124374884400882
7	61818740	159127977	21001	2	1.77580843840632	0.00855605956377587	0.124075898728471
8	29111	43828789	10630	2	1.88842259035598	0.0127381184663511	0.122571486950942
8	46856411	146279898	18623	2	1.57788809285188	0.0011522168799978	0.126891898413583
9	11410	47185609	4490	2	1.62200448680776	0.00280852501872521	0.123970470031919
9	65508204	141111396	15390	2	2.07893789965975	0.019763325346798	0.116016571258921
10	91802	39024195	9005	2	1.55932418800303	0.000454217854264682	0.127307225755591
10	42398529	135523745	23134	2	1.97290768151409	0.0158611641176492	0.118179774597819
11	123899	51580877	13808	2	2.29184251663631	0.0275412355044475	0.115216883953492
11	55029786	134945834	23454	2	2.09192250644923	0.0202398731751936	0.116844573492608
12	148077	34846306	8557	2	1.74445026121818	0.00738760268549769	0.125620991729617
12	37935538	133779169	25578	2	1.92309915485026	0.0140214474897675	0.119889426848997
13	19060404	115099705	16318	1	1.28727877599091	-0.00984569576275194	0.124598323781153
14	19109264	107288070	22944	2	1.84715742416221	0.0112082453895682	0.117056241963247
15	20087619	102520452	22247	2	1.9617182756548	0.0154482460422771	0.116974853471844
16	61523	35136261	13613	2	2.35045082410967	0.0296690207962888	0.108350840854652
16	46461571	90282401	15621	2	2.10111170654783	0.0205769529878399	0.110568654465834
17	3075	22240394	10048	2	2.16229091733432	0.0228174963985326	0.110970057188838
17	25289407	81060149	24199	2	2.12585547042415	0.0214838966987141	0.109672795141108
18	10870	15331495	2882	2	1.65055213919882	0.00387847997897041	0.11586329073091
18	18511418	78012216	8844	1	1.39408423944428	-0.00578597712912512	0.125154231471269
19	70893	24390680	13643	3	2.51596014616152	0.0356472404329616	0.104033158717151
19	27732527	59097644	15374	2	2.34529406245545	0.0294820323878333	0.104762434939849
20	67000	26319303	5703	2	2.00654815283176	0.0171012921414422	0.113639978209969
20	29521264	62959262	12459	2	2.13694346232836	0.0218899734855961	0.110336937429448
21	10861949	11186257	61	0	0.155371343643183	-0.0541969222182819	0.12218405964452
21	14409311	48100985	8010	1	1.47983690509221	-0.00254145037195112	0.118779894539038
22	16123266	51225561	14274	2	2.22968399895615	0.025278306996942	0.108063052047393
X	2702298	58562599	6601	1	0.992481513204836	-0.533694202745346	0.133024776251886
X	62270220	154924426	8563	1	1.03747536841575	-0.530383064900867	0.129848144187471
Y	2652340	10037794	194	1	0.932317834208538	-0.538143402538666	0.0993668985170497
Y	13249274	59019879	273	1	0.721232989510135	-0.553953781173771	0.148453886157542
