chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
1	15865	121461578	17370	3	2.8027701969007	0.0137509329421466	0.127074884320798
1	142714752	249212500	11200	3	2.99304058559088	0.0593578687289326	0.126152687795035
2	45264	92318652	8130	3	2.86959218771683	0.0300681747631689	0.122155492653053
2	95401381	242853007	12338	3	2.88663114194056	0.0341757725120703	0.127809835559024
3	243996	90139296	7184	2	1.82533516716624	-0.273713774238463	0.166434286035995
3	93646378	103645997	352	2	1.75285952111092	-0.299826750188327	0.161619088396696
3	104216116	197896800	7356	3	3.04474479274616	0.0713112037355383	0.129126939330798
4	50006	49561179	4739	3	3.06417984746129	0.0757581752415365	0.123897241857584
4	52708709	95372196	1998	3	3.09053135870143	0.0817481835001747	0.137342421368586
4	95372810	133266322	1576	2	2.21341223929425	-0.146866847708331	0.150299419718894
4	133990686	158143917	1185	3	2.95204518428864	0.0497505951341315	0.155722637308566
4	158478835	191016112	1730	2	1.80336225188006	-0.281540235464685	0.167085083973841
5	50898	45696465	3420	3	3.15869866495038	0.0970368337331446	0.123463085316189
5	49699726	180876320	10467	3	3.29750790766821	0.127287118370374	0.130899834608512
6	186671	58779187	13227	2	2.04791013358351	-0.198504827691644	0.152560642138831
6	62642433	171021937	7291	2	2.13479423712226	-0.170977807917972	0.148201998115192
7	31467	57928998	7238	3	3.25607051652158	0.118376917421782	0.125457155919829
7	61079350	159127977	9822	3	3.38246379141154	0.145248011334554	0.126739687432912
8	176533	43828789	4324	2	1.84527564990943	-0.266677441700685	0.172945427541994
8	46940943	50494738	297	2	1.64862650033725	-0.338955823982221	0.16830998663899
8	50629982	146280537	4943	3	3.4510505108108	0.159457358887841	0.136009575538618
9	73835	47184909	1199	2	2.18455364272988	-0.155632469908405	0.1499891085472
9	66110525	141042453	4946	2	2.14714628153612	-0.167140771968931	0.142817699098711
10	91802	39024195	3541	3	3.10855801021742	0.0858199603391947	0.124610351959907
10	42406286	135499091	9708	3	2.76487507668173	0.00434601613941872	0.131747003504853
11	123899	51515596	6859	3	2.79394927950691	0.0115716659947581	0.124573460353591
11	55028287	134911302	9455	3	2.84057733589035	0.0230242264663257	0.124525140988232
12	148077	34758307	3346	4	3.57757344157696	0.185020029116375	0.142885607215898
12	37935346	133779169	10779	3	3.42039262239205	0.153137287369873	0.132508309309322
13	19060404	115090734	6643	3	2.5629169647353	-0.0477479628828439	0.130415899317424
14	20612220	107283432	8856	2	1.9114782146269	-0.243754359018115	0.160504335062552
15	20104187	102506257	8975	3	2.87341106625056	0.030990646204556	0.125085341240137
16	91602	35029997	6361	3	3.07827064286305	0.0789668027426685	0.117604210479798
16	48221499	90238222	6786	3	3.20703397553547	0.107701773854306	0.12054657010613
17	5999	21561942	4798	3	2.85311585621241	0.0260758839978727	0.120955988798091
17	25289407	81058949	10928	3	2.75272598129093	0.00130706777431324	0.123300122198985
18	73037	15331495	893	2	2.30649176591473	-0.119236789446013	0.143168336257543
18	18520274	78005649	2543	2	2.21162454802394	-0.147407043580098	0.15144805487468
19	70880	24270468	7644	3	2.77042579841678	0.00573059751742163	0.119448733833985
19	27732527	59095508	7622	3	2.79026440705039	0.0106595181049702	0.123055469895896
20	67000	26190354	2028	3	3.15746966759262	0.096763784190207	0.122925063013258
20	29535013	62905237	4624	3	3.05716595922904	0.0741561869180671	0.121280025176863
21	10883548	11106719	18	3	3.00466875039504	0.0620618861477842	0.0793128816672954
21	14409311	48091011	2469	3	3.02804112202273	0.0674691888996687	0.122581537805194
22	17290861	51222251	5317	3	3.04759401005628	0.0719646996031912	0.119325925070828
X	2730666	58562406	3019	3	2.50819854374127	-0.0624716682536608	0.14651858500682
X	62570863	154117632	4627	2	2.44854478170338	-0.0788409242876029	0.137763258404394
Y	2658057	10035202	72	0	-0.367863502881033	-3.36472895078535	0.235846399138331
Y	13332435	28555550	155	0	-0.361586143812893	-3.26222114611291	0.20572177618083
