chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
1	15865	121485140	35761	1	1.31054160246211	0.00979953256546984	0.117024733857451
1	142539178	249219611	26068	1	0.758063776051654	-0.0036419575989636	0.119083899940286
2	18435	92318652	19633	1	0.933179789309419	0.000643220160886037	0.119531747293294
2	95398021	243035414	29473	1	0.933407840171394	0.000648785620124646	0.120785629000278
3	64070	90383506	17072	1	1.26056409108804	0.00859293040157406	0.119245983090831
3	93560256	197896800	19992	1	0.863704892482824	-0.00105409751160538	0.120755743411442
4	27812	49592492	10080	1	1.49019172593481	0.0141217187400298	0.121320781252535
4	52697492	190982887	17236	1	0.997653120223963	0.00221510483848143	0.125109330998323
5	47603	45888975	8160	1	0.982022963189824	0.00183432142764478	0.123275845327009
5	49599264	180876320	25287	1	1.33466339789875	0.0103812468631368	0.120978111563498
6	148112	58779187	22142	1	1.17963544869229	0.0066351786172217	0.117284656682187
6	62007419	171033363	17858	0	0.239483764220101	-0.0164693279826989	0.122009045244767
7	31006	57928998	14809	1	0.877801111080589	-0.000709423850336582	0.120985868975649
7	61818740	159127977	21001	1	0.915261761648736	0.000205818216278847	0.121956136052628
8	40382	43828789	10630	2	1.5171708025584	0.0147687774009837	0.121964581092079
8	46856411	146279898	18623	1	0.67784058739533	-0.00561281574397175	0.121427347079146
9	11410	47185609	4490	1	1.37275743526539	0.0112990440776951	0.120920918179304
9	65508204	141111396	15390	1	1.30144667501004	0.00958009114654608	0.11862674406455
10	91802	39024195	9005	1	0.960211501138109	0.00130264285261672	0.121434032046589
10	42398529	135523745	23134	1	1.13173457259512	0.00547412465411338	0.120074544580448
11	123899	51580877	13808	2	1.70451785761637	0.0192475614475903	0.117340002340234
11	55029786	134945834	23454	1	1.36492752127935	0.0111104851150402	0.118615892780714
12	148077	34846306	8557	1	1.10842729608743	0.00490857203752853	0.122955486600771
12	37935538	133779169	25578	1	0.816386584569799	-0.00221219707193008	0.116445180979304
13	19060404	115099705	16318	0	0.367603023757481	-0.0132808858259216	0.121361744337587
14	19109264	107288070	22944	1	0.609213465585886	-0.0073026848609531	0.117826651747585
15	20087619	102520452	22247	1	1.01522966168764	0.00264308808642647	0.116378815698169
16	61523	35136261	13613	1	1.07181333511972	0.00401931703669158	0.110756679301654
16	46461571	90282401	15621	1	0.830795601649472	-0.00185936223894992	0.114792157171339
17	3075	22240394	10048	1	1.39088744144971	0.0117354765932607	0.111492540120958
17	25289407	81060149	24199	1	1.1640613014557	0.00625786821615816	0.110869792651213
18	10870	15331495	2882	1	0.645789983213756	-0.00640157954133068	0.121172477543201
18	18511418	78012216	8844	0	0.434933078589689	-0.0116103969419387	0.124525380721291
19	70893	24390680	13643	1	1.14484642012235	0.00579210742736463	0.107685772746954
19	27732527	59097644	15374	1	1.17838403996674	0.0066048677248238	0.108958754116789
20	67000	26319303	5703	1	0.830106958217328	-0.0018762215400272	0.114197761349565
20	29521264	62959262	12459	1	0.882459554554083	-0.000595550836003943	0.115737873071915
21	10861949	11186257	61	2	1.92376259286906	0.0244569998555419	0.0879437279754098
21	14409311	48100985	8010	0	0.454385480454305	-0.0111284281932771	0.12147855399169
22	16123266	51225561	14274	1	1.13678224836792	0.00559655375831901	0.114775326608001
X	2702298	58562599	6601	1	0.924983666437701	0.000443172251798472	0.128689433845272
X	62270220	154924426	8563	1	1.28126925386256	0.00909303575023329	0.128957142859173
Y	2655942	10037794	194	-31	-31.2584217662344	-3.66092382599838	0.189625942571369
Y	13249274	59019879	273	-31	-31.2448286987956	-3.62812509641909	0.179981961870853
